key,de,en,fr,it,description
alert.error.tooManyRequests.anonymous,Von Ihrer IP-Adresse wurden zu viele Anfragen gesendet. Bitte warten Sie eine Minute.,There were to many requests from your IP. Please wait 1 minute.,De trop nombreuses requêtes ont été envoyées à partir de votre adresse IP. Veuillez réessayer dans une minute.,Sono state inviate troppe richieste da questo indirizzo IP. Riprovare tra un minuto.,
alert.error.tooManyRequests.authenticated,Von Ihrem Account aus wurden zu viele Anfragen gesendet. Bitte warten Sie eine Minute.,There were to many requests from your account. Please wait 1 minute.,De trop nombreuses requêtes ont été envoyées à partir de votre compte. Veuillez réessayer dans une minute.,Sono state inviate troppe richieste da questo account. Riprovare tra un minuto.,
audits.table.header.date,Datum,Date,Date,Data,
audits.table.header.status,Status,Status,Statut,Stato,
audits.title,Audits,Audits,Audits,Cambiamenti,
blacklisted-agent.add-success-message,PAV wurde erfolgreich auf die Blacklist gesetzt.,Agent was successfully added to the blacklist.,Agent was successfully added to the blacklist.,Agent was successfully added to the blacklist.,
blacklisted-agent.change-status-dialog.cancel,Abbrechen,Cancel,Annuler,Annulla,
blacklisted-agent.change-status-dialog.change-status,Status ändern,Change Status,Change Status,Change Status,
blacklisted-agent.change-status-dialog.message,"Möchten Sie wirklich den Blacklist-Eintrag für den PAV ""{{ agentName }}"" ändern?","Do you really want to change status of the blacklisted agent ""{{ agentName }}""?","Do you really want to change status of the blacklisted agent ""{{ agentName }}""?","Do you really want to change status of the blacklisted agent ""{{ agentName }}""?",
blacklisted-agent.change-status-dialog.title,Status des Blacklist-Eintrags ändern,Change Status of Blacklisted Agent,Change Status of Blacklisted Agent,Change Status of Blacklisted Agent,
blacklisted-agent.change-status-success-message,Status des PAV wurde erfolgreich geändert.,Status of agent was successfully changed.,Status of agent was successfully changed.,Status of agent was successfully changed.,
blacklisted-agent.choose-organisation-desc,"Bitte wählen Sie eine Organisation aus, die sie auf die Blacklist setzen möchten.","Please choose an organisation that you want to add to the blacklist.","Please choose an organisation that you want to add to the blacklist.","Please choose an organisation that you want to add to the blacklist.",
blacklisted-agent.choose-organisation-placeholder,Geben Sie den Namen einer Organisation ein,Please enter the name of an organization,Please enter the name of an organization,Please enter the name of an organization,
